yarn outdated v1.22.22
info Color legend : 
 "<red>"    : Major Update backward-incompatible updates 
 "<yellow>" : Minor Update backward-compatible features 
unist-util-select                3.0.4                                 3.0.4                                 5.1.0        gatsby-remark-images-contentful    dependencies           https://github.com/syntax-tree/unist-util-select#readme                   
unist-util-select                3.0.4                                 3.0.4                                 5.1.0        gatsby-remark-images               dependencies           https://github.com/syntax-tree/unist-util-select#readme                   
unist-util-select                3.0.4                                 3.0.4                                 5.1.0        gatsby-transformer-remark          dependencies           https://github.com/syntax-tree/unist-util-select#readme                   
unist-util-visit                 4.1.2                                 4.1.2                                 5.0.0        gatsby-plugin-mdx                  dependencies           https://github.com/syntax-tree/unist-util-visit#readme                    
unist-util-visit                 2.0.3                                 2.0.3                                 5.0.0        gatsby-remark-autolink-headers     dependencies           https://github.com/syntax-tree/unist-util-visit#readme                    
unist-util-visit                 2.0.3                                 2.0.3                                 5.0.0        gatsby-remark-copy-linked-files    dependencies           https://github.com/syntax-tree/unist-util-visit#readme                    
unist-util-visit                 2.0.3                                 2.0.3                                 5.0.0        gatsby-remark-graphviz             dependencies           https://github.com/syntax-tree/unist-util-visit#readme                    
unist-util-visit                 2.0.3                                 2.0.3                                 5.0.0        gatsby-remark-katex                dependencies           https://github.com/syntax-tree/unist-util-visit#readme                    
unist-util-visit                 2.0.3                                 2.0.3                                 5.0.0        gatsby-remark-prismjs              dependencies           https://github.com/syntax-tree/unist-util-visit#readme                    
unist-util-visit                 2.0.3                                 2.0.3                                 5.0.0        gatsby-remark-responsive-iframe    dependencies           https://github.com/syntax-tree/unist-util-visit#readme                    
unist-util-visit                 2.0.3                                 2.0.3                                 5.0.0        gatsby-remark-smartypants          dependencies           https://github.com/syntax-tree/unist-util-visit#readme                    
unist-util-visit                 2.0.3                                 2.0.3                                 5.0.0        gatsby-transformer-remark          dependencies           https://github.com/syntax-tree/unist-util-visit#readme                    
unist-util-visit-parents         3.1.1                                 3.1.1                                 6.0.1        gatsby-remark-images               dependencies           https://github.com/syntax-tree/unist-util-visit-parents#readme            
vfile                            5.3.7                                 5.3.7                                 6.0.1        gatsby-plugin-mdx                  dependencies           https://github.com/vfile/vfile#readme                                     
webpack-dev-middleware           6.1.2                                 6.1.2                                 7.1.0        gatsby                             dependencies           https://github.com/webpack/webpack-dev-middleware                         
workbox-build                    4.3.1                                 4.3.1                                 7.0.0        gatsby-plugin-offline              dependencies           https://github.com/GoogleChrome/workbox                                   
xstate                           4.38.3                                4.38.3                                5.9.1        gatsby-source-filesystem           dependencies           https://github.com/statelyai/xstate/tree/main/packages/core#readme        
xstate                           4.38.3                                4.38.3                                5.9.1        gatsby                             dependencies           https://github.com/statelyai/xstate/tree/main/packages/core#readme        
yargs                            15.4.1                                15.4.1                                17.7.2                                          devDependencies        https://yargs.js.org/                                                     
yargs                            15.4.1                                15.4.1                                17.7.2       gatsby-cli                         dependencies           https://yargs.js.org/                                                     
yargs                            15.4.1                                15.4.1                                17.7.2       gatsby-dev-cli                     dependencies           https://yargs.js.org/                                                     
Done in 47.99s.
